Emotion,Text
sadness,realiz dont pictur bff next time im go colombia crazi take pictur lol
anger,question abil tell ya make talk boss
joy,zooey deschenel sing merri littl christma
anger,hate shop mother
joy,dont let ur ego miss
joy,ontem fui na ela deu vario abrao tipo pareendo que era um adeu sei la x
anger,stop saw look annoy face
surprise,good job hide dime forget
joy,get someth hug giftcard christma promis spent hella long time look
sadness,believ im go leav tj maxx without kate spade boot im lose
surprise,mum gon na kill sister she back shop saturday birthday
joy,yeah think time start question trig test
sadness,start construct lot next hous
anger,realli frustrat isnt problem would feel lot better currenc littl stabl way dollar plummet late secur gone smoke
sadness,heard death mother
surprise,tonight need work iphoto book kid think arent give anyth tree
joy,someon littl ball net hope mean min vs
surprise,awkward moment wear bra whole fam decid visit
fear,word rt look cant make occasion crass sexual joke seriou protest terrorist alreadi
sadness,naught offer youth say sorrow voic
neutral,time
surprise,colbi drunk pull nighter he got test hour
joy,ive drink water non stop past two day
joy,felt happi end day student camp share hope aspir open situat gener made strong frienship experienc worth well
neutral,next week
joy,time year best time yearmak happyheavi sigh
surprise,excit tonight staff meet itll noth like anyth youv ever experienc
sadness,back real world
sadness,miss island misfit toy
joy,know rarer difficult beauti sad andr gide
sadness,im realli sorri let ill make somehow
fear,danger dare go
anger,thought last appoint turn might go nerv shit anoth tooth
surprise,new area alway astonish vivid crimson earth build
sadness,look u hardwar yesterday gna b late left
surprise,tycker livet r rtt glatt srskilt nu nr det kommit sn p isend ser man int en hur glatt livet r
anger,angri separ jeann modigliani spent much time drink windowless littl bar local artist met drank ran debt
sadness,tragic news death gari speed welsh footbal
anger,kapil sibal ji digvijaya singh aur manish tewari bole sab rangila haitwitterfacebook bole charact dhila hai
joy,well exam done confid cant worri work coupl hour
anger,yeah anyway drive mad
joy,que sueo eh jajjaajajja te quiero aunqu posiblement tenga un esguinc en el pie no hayan intentado robar
surprise,buy gift athlet train christma parti tonight get get
anger,look offend guess idea discret swap length lead pipe rubber truncheon
surprise,front stun mourner told griev widow linsay robinson pay els
joy,chosen experi aphasia
joy,wonder world go get womantholog sketchbook got word theyr ship week
anger,ask someon question tell dont start work till
surprise,invit girl sister birthday partyhop dont get mad lmao
surprise,even tho im mad im love im go home min mommi dad dont know lol
fear,throw khawaja wade warner suddenli weve got match winner
joy,time get start makeup work miss day school
sadness,littl sister graduat high school grandmoth becam sick pass away month later
joy,offici owner apart
sadness,father recent heart attack spend month hospit
joy,paddington grew excit listen
sadness,fit class possibl goe like full promis doesnt live anyth
anger,realli run ground ask time could take long weekend go away somewher
disgust,made go hell go heaven
sadness,wish wing way could fli away world
joy,realli look forward day friday
surprise,en serio tu esta jodiendo rt lleg un chequ de estimulo feder est ao tambien hay
anger,dont let bring u rt ppl wake morn done
sadness,child grassparakeet like much leg crippl could move fast came room notic step day later die
joy,ohh today gon na fun famili alreadi fightingg
joy,there noth world like sing play silli toddler cousin
sadness,euphoria sens wellb accompani boom year replac mood despond compani individu experi effect westernstyl recess
sadness,wonder inconsol prospect child return london
surprise,found one kid im babysit tonight wheelchair awe
fear,okay thank ill make anoth reserv soon
anger,hijack didnt respect human life even
joy,notic laugh simultan w sing along
joy,watch dog open advent calend bring
fear,child step rusti nail told might get tetanu
fear,doubt slip mind
fear,hinder sin sin sin sin faith god turn away sin
fear,found gone school premis without permisss wrong time
sadness,darbi momentarili crestfallen say still think offic need find
neutral,fix
anger,argument friend knew right friend went argu even though know right thing
joy,get check thyroid blood sugar problem
joy,super tiredand get like tomorrow morn
surprise,dickhead fuck onsid kick
joy,mayday parad traffic school ill tonight ticket way lame
sadness,pass away father
joy,hello im penni move
sadness,ion get satifisc get tell everyon pregnant
fear,abroad drive car along dark wind road
fear,order desir greater bill cosbi
surprise,mine suppos go weekend dad work secretli put got home haha
fear,confirm true kiss give one throwup viru
sadness,member request committe sorrow work begun without permiss pass counti council
sadness,outstand pathet fallaci outsid right
joy,hey man thank breakfast love bro
surprise,spend time daddi know make day littl brighter
anger,could lent paula said peev
fear,say want keep peopl that say great tool silenc
anger,dont care headach
joy,today purchas great friend wonder parent littl stock filler know theyll love
surprise,leav bump old ladi scare half deathhahahaha
fear,countri western suitabl calm agit anim
surprise,win sportsmanship award
joy,hahah that truth know class probabl worksheet
joy,weari week letter phonecal visitor younger sister came chees card pocket money told work
joy,your kind your one favorit thank friendship light
joy,hour exam im even half way done chapter
joy,ditto christin laugh weekend honor
joy,enjoy day beauti world planet earth wonder peopl
fear,forget everyth rap goodluck enter weezi comp im chill
sadness,genuin sorrow produc voic
fear,dog ran thin ice last spring
surprise,sooo mail person pull upin yard howl horn happen real deliverservic plu sideit
sadness,day teacher latin french die
anger,dear santa new xbox control pleas smash mine due fuckin shit
surprise,dont think know good ima give
fear,citi terrorstricken minicab driver threaten quit job fear murder young cabbi
fear,aunti didnt make twitter follow ui see u hous everyday cours didnt say loud
joy,cant wait your back n lo angel night hope inspir u dodger stadium that
anger,dude forgot put bacon burger
sadness,one play girl rest crew
fear,play hardest byzpo radio show session tune listen enjoy
joy,random point day thought cross mind longer pain bear wisdom teeth
sadness,griefstricken widow destroy cricket cloth equip
joy,run late car frozen solid
shame,old peopl may littl embarrass bodili function perhap less husband wive stuff takenforgr childhood
sadness,give yer plead disconsol conven slap jam butti
joy,christma dj salado junior high christma float
sadness,know time get monthli allow grandpar forgot answer phone
joy,mediat lord god never leav forsak rest assur bring uncontain unshak
joy,muy excit final get sleep round two babi watch tomorrow morn
joy,pump pump pump pump christma spirit
joy,heard good friend abroad long time would come see
anger,dislik intimaci show toward resent memori share part felt exclud
joy,thank suit love find right card
fear,grandmoth sever time struck cerebr hemorrhag recov well time alway threat loos
surprise,net thui van lekker trainen mijn subtiel vraagpog om eracht te komen wat wil mislukt
surprise,santa claus isnt real peopl think cucumb tast better pickl oj shit
joy,night consist bake pie cooki make poster
fear,paddl river storm fear drown
joy,sofa bed im workshop next thur fri
joy,im tire hurt bad pull hamstr groin
fear,want dream nightmar stop havent hd much nightmar row
joy,lie bedlost thought im call love midstbcuz
surprise,awesom awesom inspir day same vega
joy,pleas see guidanc state unequivoc major retail develop inappropri green belt
surprise,happi friday excit weekend
sadness,father told letter mother ill
fear,clear lesson beleagur john major rattl tori govern
surprise,got approv kay credit card go buy jame watch shhhhhh lol
joy,mawningjoy cm mawnin wen u survivd niteon mind
sadness,bah didnt know someon log server within chunk crop order grow
surprise,milner lennon meet us sweet toodont breath word sean
joy,posit trackteam transtasman game eleven
sadness,hour ill watch season final
joy,away long time friend told pass written examin
anger,direktor felt first time deepli resent fact part choos programm
joy,leav beach hour drive
sadness,say your guilderland local colleg kid think your spoil rich fag
sadness,realiz girlfriend like go separ
fear,watch triller dark night countri go outsid toilet
joy,million dollar
sadness,feel though tri indirectli insult
anger,hitch hike way back town rather drunk drop anoth town unknown us need urin wall turn belong militari headquart arrest made pay fine pt go home foot km sinc late anyon give us lift
anger,rel come place creat untidy dirty
fear,felt fear young left big hous alon
sadness,wow nice carbor u one like mayb sum would end
anger,know late
joy,detent tomorrow morn
joy,express ultim prais also help get realm certainli
joy,gene daili watch snowman
fear,fearless mean need courag
surprise,en weer trug gister gezellig en mtb ging vanochtend wel lekker vamiddag kaasfondu
joy,final examin school glad examin pass
anger,understand dont understand understand one thing
joy,top one bad day im bore
surprise,love left over last week also love theyr half warm half cold fantast
fear,omg jk cant fail tomorrow got back studi
fear,noth afraid door push get side
disgust,damn hoe tyga video upset hope video worth
anger,pass buck ill hang ask go park us
joy,slight hurdl weekend bloom art exhibit organis soon old flat full day insuffer artist
sadness,cute ryan reynold look like hasnt class pass day
anger,god sake bloodi peopl cruel
sadness,find univers enough foreign currenc buy yournal refer list
neutral,next june
surprise,canadian magic show atlant station
joy,flat iron hair
sadness,man unit knock champion leagu im go cri
sadness,sorri help
fear,came tell servic postpon agit state difficult persuad leav play
sadness,guineapig ill coupl day one even came home enquir mother express told die knee refus support began weep convuls
joy,told pear shape
fear,good courag jesu christ right work behalf zeal perform thisisaiah
joy,bout night homework
surprise,mom homemad mac n chees ham coor light dessertwel that
anger,darn oh well guess day thank anyway
sadness,would like anna think need littl space bit
joy,schoolcheck go get finger cut open
anger,youv got mani cousin call later night didnt gut answer phone
sadness,thought seem sadder older somehow lone
fear,hate dentistwith passion
fear,drive fear present lactantiu
fear,watch famili movi alway make bit nervou suddenli cut away parent intim moment
sadness,one tortois watch two tortois got closest ever got threesom
surprise,booz drama make peopl wild thing
fear,walk street boy show knife stole money
neutral,yeah price high
joy,funni thing realli find busi fun go look
joy,still dont know djokov match still dont know beat nadal less hr later
fear,go home holiday almost drown zambezi river
joy,dad went groceri shop call ask want onion
joy,spend day nana aunt
anger,jess felt faintli indign remark
fear,emot that overr emot that control bt like fear fear keep sharp
anger,react find heartless selfish theiv watch famili wait
joy,een vaatwass zo lang al lopen zeuren en nu komt er dan echt eentj huiz buij dat wordt echt al het servi afwassen
neutral,jenni come help need prepar food
joy,fastest weekend ever exam start week
anger,forget bitter pill swallow
fear,agre top stag terribl tuesday look forward
sadness,kevin keegan newcastl manag downheart even though result leav side deep releg troubl
anger,im tire cutanddri opinion think
joy,tomorrow wednesday doubl social studi spanish
joy,even felt nervous excit control excit
anger,dvr complet eras got home dont know get put furri show twilight movi record
fear,yanto realis horror nearest man exit bar
fear,saw look horror face
surprise,surpris surpris someon said realli curiou know abt huh
joy,fell asleep play piano havent done year
sadness,wait start last show
fear,realli thick black line twitter scare
joy,experienc feel accept student everyth turn differ expect although pass exam success accept student didnt expect name begin septemb
neutral,end nice even got ipad birthday present want
surprise,waarom kunnen een printer en ik nooit samen door een deur minder leuk avondj dan gepland maar wel klaar voor morgen
fear,equal opportun rap shit unreal
joy,rain wind soak pant class
joy,music folk especi sensit thing plenti tune christma
fear,tweetim dimens rt franchi un cap commenc mettr devant le nom de se collgu qd ell veut envoy texto
joy,joy see month old nephew run around room month ago major heart surgeri miracl
fear,hartington soon becam alarm plan give increas power term fanat local author wrote roseberi ask withdraw support measur
joy,yayay page histori test tomorrow
joy,look forward visit week excit met
joy,fun studio final produc custom final decis
joy,within month reviv began overjoy christian overflow citi street
joy,look peopl around know peopl stupid look stupid
joy,got ta take custom dinner tonight
fear,oi xma hold sure bb rec rec effect
anger,sow today reap sow harvest look like today
surprise,first drunk person spot with minut citi
fear,got jungl great number snake
sadness,got scale offici never eat ska bing eat miseri
sadness,met nice peopl holdiday left knew would never see
joy,like final sister mom steal makeup cloth
neutral,apolog moment met day gone thought youand scare veronica closer get wors get thought mean handl made veronica everyth soul mate
joy,well done crystal palac bye bye man utd
joy,feel like go drink long day
joy,rejoic lord alway say rejoic philippian
fear,omg dnt know got work morn fuckin hilari nitefactor
fear,noth els pervert abil fear proof abil
joy,secret talent fall stair trip
neutral,ye sir
sadness,today mass stop hous mass disappoint one home
joy,famili happi heartbeat counter count share daili minut happi let talk
surprise,hehe otay come game weekend
joy,wooo macbeth essay final written learn
fear,resist launch deep
joy,last time sex
fear,gratifi find concern welfar li yuan
fear,tri understand hr got mine isnt enough compel heckl wtf wthat
sadness,sorri buy ticket next counter
sadness,th januari receiv messag home tell father pass away previou day histori cancer oesophagu time third year secondari school
joy,excit morn baptizim servic peopl comit live christ
sadness,man love decid leav forev
joy,got home simonsnow time go sleep prepar hour practic
fear,way describ week harri potter everyon scare say voldemort name loud
sadness,rip gari speed true legend never forgotten
sadness,lost girlfriend
joy,spanish mid term birthday
sadness,forget
anger,angri univers tutori ignor loudmouth persist tri domin convers
joy,succeed write someth felt felt well happi abl express someth suffoc
anger,togeth whole year vacat time two us
surprise,dress rehears actual done earli
joy,im starv aint shit eat
disgust,alway nose spot cup coffe cover
sadness,offic smell like wet dog
surprise,liquor left lost voic oh weellll good night ahahah atter tmr
joy,call boyfriend ask would live
joy,mani live cow one could kill cook come tell
fear,passeng vehicl travel steep side arthur pass middl sleetstorm ici road sheer chasm one side sheer face
disgust,seen boy use sit next class last year scratch ball
sadness,death friend
surprise,famili know come home thanksgiv
fear,peopl need know understand differ
sadness,realiz im pretti much done learn calculu
surprise,hair color gon cray cray
joy,wife gave birth babi boy son date
surprise,tri kill us week new haircut rais hope asia omgomgomg
fear,small primari school renovationu go hear billionsmal commun water project billion naija govern
joy,shakira sleep overoh yay get wake morn cri
joy,mani labour mp could hide glee snp action antipathi crossparti cooper
surprise,turn fish man stone overweight
anger,thu particularli irat husband pronounc word three time heat moment divorc perman could revers
fear,secur dan secur never safe know lot sicko day caught peep tom red hand high power telescop binocular window
joy,signin take act makin recruit profil startin one two research paper doo
surprise,gon na look right rt akon come changeabl bar color look box
surprise,heard song bedrock first time like two year someth littl know know everi word
neutral,often
sadness,everyon sad departur
sadness,studi hall first period one today
joy,nice ive home minut need eat sleep get work earli
sadness,loss close rel
disgust,hey let go troll lmaaaaoooo btw look guy bare crusti feet carpet ommfffggg
sadness,pj gore way relat frank gore
surprise,yop rt dost ho tho tere jaisa rt peek jaana teredad k passrt
joy,friend jean beauti
joy,quit typo today better stick hand refriger warm
joy,love cook would rather make anyth dont gener eat white pasta box macchees goo
joy,robert stephenson john met week delay amus stori triumph rhyll
anger,dang yesterday blow twitter anger miss th tweet want ugh see look smh
fear,feel usual tonight sleep
sadness,heard pass away today great guy miss
fear,hadnt gone far met anoth lancast return cook tour horror two aircraft flew wingtip wingtip way home
joy,ugh scienc french test tmo forgot book
joy,bring part happi love famili heartach weve last year xx
anger,work petrol station foreign want petrol collegu treat impolit
surprise,asian parti wid parent
joy,accept student colleg thought possibl
joy,peac quiet sibl arriv home
joy,stub toe morningi look purpl broken
joy,christma season hous
joy,ignor week thenoff work
sadness,moment get dont want leav arm
anger,ruc men conduct polic investig fierc indign senior offic threaten resign
joy,niec nephew bring brilliant smart kid good fun alway laugh lot cant wait see moro
disgust,stop blast screamo music bu stop take ipod throw road
joy,feel get told love there noth import give receiv
surprise,pray first time long time tonight
joy,ruido raro con cara de loca dice es una ballena hay que salvarla sshh escucha eso es pepe el grillo jajajajajajajaa
sadness,mother unjustli becam angri sent room father explain way saw thing correct done thing best intent
anger,gon na go bed angri angri steve
sadness,friend die
sadness,im leav mum
joy,final week lot time friend
disgust,ew serious dog peed jacket pleas wear bu
neutral,could move smoothli
joy,make three cup come harri
anger,go along watch women footbal get realli infuri see man refere game often condescend manner
sadness,kno legal yall nigga u ova wht lil broad dat live home realli u wet ya dick
joy,last day class tomorrow wonder time fuck year
joy,famili pictur today
anger,delet insert joke tweet hope mr jackson spend life jail afterlif hell
sadness,produc must believ abil succumb despond
joy,right go hour drive south inlaw
joy,joy rt break imagin shimmer waterfal clear bodi mind spirit let wash thru feel releas
sadness,hair almost got stuck door morn time hair cut mayb
anger,felt anger saw mislead boyfriend went girl felt anger falsiti
joy,hate big ppl tweet freak like ewwww
disgust,miss your like button blous dont wan na see tit
surprise,go give u surpris alway tell get u surpris
sadness,monday took math bs test flunk second time
joy,hi tom want go play bowl tonight
sadness,that badthey good compani
joy,best thing day sister come sister come
surprise,fanci dress tuesday go funni
shame,decid drop note carla letterbox rather cope embarrass phone call
joy,dream close friend sever stone hous new territori villag much furnitur took see field never seen sever inch clear water sunshin reflect want sit among short green plant field afraid tread plant death friend said die sat happili trouser get wet
sadness,wish couldv today extra mayb couldv gotten see person someth
fear,far experienc simpl gratitud children like feel terribl torn anxiou face foster parent offer affect
anger,im swept away million cockroach
joy,ralf pedlar stood centr drawbridg pleas smile stretch ear ear
sadness,boyfriend want leav felt sad melanchol
anger,hate chain messag send peopl bring luck
surprise,formula australian driver championship calendar announc today good
neutral,would guy sell new video camera twenti dollar
joy,tomorrow therefor homework night tonight
surprise,wait total kid dont want go drive eat
fear,peopl upset bill suppos know govt cant control inform see
joy,oh school nativ play anoth anchor season magic
sadness,head crane neck one moment high strain ceil sigh utter deject drop knee forehead press floor
sadness,emot time prompt grief mother serious moment
joy,jane state high excit
sadness,due reason boyfriend decid separ
joy,well english test rape today
sadness,oh god got intens crave knockout wing smh
sadness,glum look face probabl normal
joy,danc learn saturday anoth next week load harmoni
joy,rt work analysi feel run feel race feel kara goucher
neutral,day
joy,anyon spare new order ticket saturday london order divis
neutral,like classic music
anger,rebel serb mif bildt plan trip stronghold pale east sarajevo
fear,dont need swear anyth punch mr youll wake dick pillow next bloodi scissor
sadness,funer tomorrow oh gosh
surprise,classic right test start someon pull fire alarm
joy,night catch work appli job
joy,life crossroad choic choos what ur choic
surprise,het hoofd van zijn zu gevuld met macaroni op een schaal met slablaadj en me en vorkeven naar de macaroni kijken hoor
sadness,becam even lugubri
shame,asham suspect
surprise,im ok work im licens cosmetolog lol aka hairstylistmakeup artist haha bet didnt know
joy,new bar across road
anger,five finger death punchund make wan na go kick someon ass full today
joy,believ spread happi enthusiast love energi world give u u give
anger,said commun anger run high
sadness,bahahahahawalkin around tri look cute snot run nose
shame,could nt take home busi associ dinner embarrass see
joy,nice havent heard live music fun
surprise,put jacket havent worn stuff pocket
sadness,lmao girl noth els rt startin yah work late young ladi lmfao
sadness,although lot support feel heartbroken henri futur
joy,nba lockout ran mile joy
fear,go home car late one night cold dark windi becam rather panicki way hous
joy,need promot work wht ncourag ppl innov contrbut job
fear,particularli concern increas incid involv youngster especi girl said founder regina dollar
joy,lol rt moment u find anoth nugget bottom ur bag
joy,well hour break back non stop art histori studi sketch art relat shit
joy,life grafter aint pretti posit note ive caught train everyday week
joy,wed today also tear
sadness,wish sold egg nog year round
joy,secret joy keep seek god doubt
anger,someon call disgust nicknam
disgust,lie mum dead low get
sadness,friend mine told go commit suicid
fear,equal inevit outrag dismay india
joy,hour minut travel vi im time week
joy,snotti achey cough like dog go ict cours
anger,gym seem call mani peopl get nerv mix
joy,classic miss train second woman walk pace hedgehog argu phone
anger,frustrat night god damnn peopl
sadness,walk dead tonight arggghhhhh
surprise,makenwa het gister een makeup doosvandaag gaan voor een tennisbaan
sadness,feel bad peopl paid money see iron bowl noth blood bath
surprise,visit dad today guess im get ipad
fear,feel fear never kill
joy,christma decor work alll night
disgust,god accurs night mumbl mr beckenham sip liquor look makeshift meal revuls
sadness,honestli doesnt even feel like thanksgiv lose intrest holiday
sadness,feel good today
neutral,right compani christma parti alway amaz occas everybodi relax get know better also time make new friend network
joy,get babi thing today
joy,note anger carri group coupl pass provok amus rais eyebrow
joy,count day till see famili south africa bring day go
surprise,find dat som trust plung knife nmi backnow imagin di sam person thinkin owe
joy,cant final happen aaah im proud cant wait c
joy,possibl fractur wont find sure til day later smh im crutch
joy,yep woopwoop othello im go english liter dayexclud last lesson night tomo
fear,polanski receiv notic similar disquiet film
sadness,wow rough night argg
joy,hahahaha rt shit pant pure gravi
surprise,ik sta op punt om mn vriendj te gaan ontvoeren voor een surpriseparti voor zn e verjaardag
surprise,surpris boyfriend weekend trip stan hywet hall
sadness,anoth note tonight notic great deadend lot peopl eye
anger,congratul new hous
anger,remememb feel kid u open present receiv cloth
sadness,sit band banquet im slowli realiz give speech next year
surprise,u keep rashad make remak psu cut miguel remark come fuck man
joy,tower heist stinkin good
joy,rel visit
joy,cook dinner drink beer read submiss leav vacay two day
sadness,wait eaten coconut lmao dont rememb havent decad
joy,pick real christma tree
anger,wasnt realli anyth could there alway lot bad blood manag said anyth would fire sure
sadness,receiv letter grandmoth obviusli suffer lot grandfath suffer health mention thing gotten would never use
neutral,dont like folk music much
anger,cross go
joy,pleas happi older sister came home live somewher town hadnt seen month close sister
joy,bulgaria footbal match franc
joy,slow northbound j j accid clear roadwork place
fear,hero coward feel thing
surprise,zometeen druk een en maken en dan vanavond vieren wat een haha
surprise,finish christma shop yippe time shop famili gift
fear,faith perfect cast fearwho perfect love
joy,fell asleep finish clean room haha offic downstair
anger,cup final match limb leaf wander silver striker someon promis give money admiss fee watch game unfortun give
anger,mad boy villag boy hit raw pawpaw face
fear,age foster grandmoth die fear die
sadness,happi birthday fit year xfactor
joy,smile amus play lip studi unkempt prize
anger,differ type anger lightn tornado flood volcano
fear,disquiet new direct religi affair soon surfac parliament next year grow number mp began speak arminian threat
joy,thin lizzi everi twenti minut
surprise,b pm tell mum wont b bday dinner
joy,gym morn xma tree afterward nice shift waitros
joy,fun
sadness,know havent christma season
neutral,hi mark
fear,greatest sit front thousand peopl search histori read aloud
joy,ate diner three kind gravi singl platter
joy,got email editor say knock revis park happi haz
joy,want hippopotamu christma oh well new puppi instead way pick
joy,happi wonder day receiv
surprise,told koi late find although request koi ite still got ilovehim
sadness,kennedi wont send taylor swift perfum
sadness,wed guest exactli beat breast look consider crestfallen
anger,person walk dog allow defec footpath outsid hous although happen first time wit skill learnt py thrown window indiffer protest obviou
sadness,grand rapid tomorrow miss
joy,sinc youd think delight enoughoh bicker whine small children realli deliv extra treat
anger,haha oh lotti your coold nah im gon na fail biolog math
anger,accus someth done
sadness,night absolut noth one hang
fear,sell onlybuy remorsedont buy anyth that sold fear except mayb good horror flick choos love trustnot fear
fear,maana la pista de hielo de menacho con la clase de e fisica deseadm suert para que haga un esguinc algo peor x
sadness,sometim wish awesom church close could go south cathol kinda hard
joy,great win jet time write page paper
surprise,made bux singn christma carol kidz tonight
surprise,day better surpris day x day better x number surpris
joy,nail varnish bought practic skin colour look like nail
joy,open inbox best email subject line ever yoko ono sent direct messag twitter imagin
anger,watch tv friend first film want watch anoth film channel friend switch cannel without ask want
joy,librari session follow work
surprise,buy lunch made day great
surprise,get find anniversarychristma surpris thursday nervou lol
fear,minut jme sui rendu compt qujavai mal la jamb jmatt jai une norm brluregriffur jsai pa ell sort
fear,greatest leav earth famili bro siss includ skr financi
anger,got angri learn short time prepar term examin
surprise,cold shit right snow yet
neutral,bad
sadness,friend school fail make univers
joy,aspir like conform dark princ world true god
neutral,stop
sadness,friend told suffer love academ share sad
sadness,im sorri sir ill ask manag take care
joy,creo q despu de hra corrida leyendomemorizando shit lo unico q entiendo es blahblahblah la sentencia sumaria
joy,pour un gro repa pour max dnergi demain matin
surprise,ja hoe het met je en heel veel beterschap lief ik wil je maandag wel bij sinterklaasfeest hebben
anger,fine print tuition fee say may use tree per semest ink fee includ cuz fuck shit
surprise,left london cllr cooper said astound chosen
sadness,miss miss companion secreci relationship miser
joy,nevertheless writer howev selfsuffici write without thought audienc tolkien happi discov anyon could appreci
surprise,treino ontem muito proveitoso base e outro estilo de dana que aplicando dentro free step
sadness,depress hear price goe higher higher
anger,hostel furiou us bring polic want us liter
joy,le camera left jacksonvil netbook hand conveni lost space
sadness,cut back leg bleed sinc go
sadness,feed peopl energi one person fun neither
sadness,well left book school soooo essay
disgust,think man make nasal snort heavi breath nois airport alway happen us
sadness,friend mine repeat year school pass final examin take half year later
sadness,sorri must confus order ill check
fear,armi room mate mine came back furlough threaten anoth fellow knife
fear,go eat turkey tomorrow rememb muslim terrorist eat turkey probabl often dont eat pork
joy,im current walk around store elf voic changer sing christma song target custom
fear,need recommend someth decid best person get one professor never talk felt lot fear go class ask recommend consid never heard name
neutral,mm
joy,dare live dare love give someth other
fear,walk along road alon way go shop
anger,didnt seem offend didnt exactli appear contrit
fear,think im scare futur hold wish thing use
sadness,food sound good right bad none
joy,enjoy tea christma tree
fear,make differ person dont let overcom
joy,meet sweet attract princess lunch nice feel love agian back
joy,point failur lewisham crap
sadness,im christma spirit scene live two peopl curs fuck mention
fear,nee hoor ik loop zo wel even naar je toe
anger,beat lost umbrella alway forget grab umbrella dammit
joy,learn christma joy achiev take entitl put feet jesu
surprise,aaalllllli left paper conclus paragraph go got ta get readi work im late
joy,know nearli christma enjoy qualiti time work fianc famili bring
fear,nervou might chang mind last minut
sadness,happen alon contact friend
fear,situat sad afraid parent would distroy relationship
joy,aliv make rich note univers
disgust,mix revuls also tini feel excit
fear,bad asswatch tweeter world come age
surprise,wish would hurri go home see easton make mess made
surprise,think posit malay mo
sadness,receiv letter form home tell sister sick
joy,smile regardless crazi surround
joy,nonstop christma music work
anger,gave tutori student found lazi pay attent taught easi question wrong deliber
joy,listen christma work way get christma spirit im busi rememb
joy,die happi mock await week
sadness,ive thought even guy tmobil said processor piec
joy,break imagin your steam sauna your get massag realli get feel
fear,rather match china firm confid predict hong kong author follow past form ceas mutter shock horror tiananmen return bland assur negoti peke post basic law hong kong go well
sadness,well car total wreck miss alreadi pff
joy,want borrow coat black coat would look smash
neutral,like basebal basketbal
joy,train god know long guess get straighten thing hour
sadness,therein lay extent gratitud realis feel despond disguis feel ad brightli hospit must visit stella
surprise,de sneldicht piet morgen van uur zit daar klaar en maakt al uw dichtwensen klaar
joy,saw famili separ one year
anger,suspect lot thing caus nice tri
sadness,wycomb beaten bob taylor ndminut winner disconsol boss martin oneil said actual look forward extratim sure would win
surprise,alway good day parent final see tattoo youv three month
joy,michael knight face result horribl disfigur get shot head
sadness,rachel ever follow ador littl miss sunshin
joy,oh wooowmin day b honey birthday day
joy,oh jack that wonder
joy,procrastin go death hour im go die stress lazi right
joy,oh holiday familyhow joyou hear father throw fit christma light arent want
joy,hear yr old whisper giggl bed morn tri quitepur
sadness,na let stop playin lol rememb carri car last summer lol smh
sadness,lunch left lemon juic
joy,shall say around ten oclock
fear,un rt pa tr surpren de ta part
fear,doctor look horrifi
sadness,feel like want watch harri met salli eat jimmi john probabl go watch movi eat food
disgust,time peopl get correct base right inform post think toi promot irfan au
joy,start tomorrow christma break hell basketbal game midterm
anger,phone bipolar dnt wan na cooper wit ryt nw need send repair
anger,lie
neutral,bingo
joy,mom got store realiz left purs homep p
sadness,miss morn dump
anger,love kiernan make point tell spread word put new studi guid never even put
surprise,voelt zich een beetj bert en erni op een knutselelpe
fear,greatest obstacl often choos know happi
neutral,what problem
neutral,ill tri
sadness,father die suddenli heart attack
joy,gon na stuck head rest day
neutral,agre sens miser ever
fear,fear failur must never reason tri someth smith
fear,made first eye appoint nearli six year wonder blind
neutral,honey typhoon come
joy,memori sooo sweet she sing izzi relax
surprise,im think wrap xma paper mail florida year
anger,ole ladi mad told love morn said thank u lol
fear,somehow ive got get trend way anoth way spread fear across world without need inhal
fear,wait girlfriend come apt mine late thought someth aw happen
surprise,go learn german time next year tell mark ill break randomli german convers
anger,control emotionsbut master understand overcom neg emot especi
joy,got idsmean wait extra twenti minut get insid
sadness,hole belli heart brinner
sadness,terribl headach hour left workhungri
disgust,run govn race max financi loss scam uturn decis
joy,walk along embarcadero last night along bay quit calm last night
anger,watch movi spice girl sober
joy,bitch see havin funn even smile theyll tri n steal bitch go suck dick that good
joy,well got total hour sleep last night
surprise,sing chilli pepper one oh slow one
fear,consid head town brave christma shop
disgust,realli cant believ grown men think ok touch children kill anyon touch girl
surprise,en dan uitgerekend degen hebben die nik wil hebben
disgust,hate burn passion
joy,hi that realli courag hope find perfect fill soon
sadness,ive lost bag candi better trash golli im start think im get realli absentmind
fear,alway assum sort civil dismay barbar monopoli caus
joy,thrill pleasur diminish imagin ken pallid bandag head shadow screen
disgust,sister hoein black kid andr
sadness,black mark societi greed regard other support sick movement
sadness,period feel total inconsol
sadness,father death januari move deepli gloom prevail almost two year still recov
neutral,havent heard prison
fear,girl exchang nervou glanc think must miss hardbroom come reprimand bed
joy,lord fill peopl laughter day presenc full joy
joy,creat clean heart oh restor wash white snow made whole
sadness,lose girlfriend made end relationship lost import sourc support certainti joy moment cri intensli happen
joy,hour homework kill brain work hour
joy,found dollar pocket laundri highlight week
joy,lectur wrong love bite neck smoke
sadness,unfortun long drive day
joy,word written comp
surprise,dan kom je je bed ligt er een chocolett
sadness,sudden end relationship first girlfriend
sadness,bro hungri mother wont let eat guess want starv
joy,go regret sleep late tomorrow morn
anger,bank custom notori slow shift busi even mif
sadness,depress moment lost follow
fear,rel seem concern lack commun unavail nurs
fear,watch press confer guy squirm ask termslength contract
fear,driven friend suddenli swerv skid littl night long trip end side road
surprise,knew cherri hill east much spirit
neutral,yup
joy,wtf thought rt time go run hope boost mood back page paper due tonight
